DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,Mean_BMI,Median_BMI,Unmet_Need_Rate,Under5_Mortality_Rate,Skilled_Birth_Attendant_Rate,Stunted_Rate,URBAN_RURA
AL200800000271,2008,271,40.990446,19.517995,22.58,23.54,14.29,5,100,0,U
AL200800000272,2008,272,40.932369,19.70596,23.61,24.91,0,0,100,NaN,U
AL200800000273,2008,273,40.935927,19.686028,28.96,27.5,0,4.35,80,0,U
AL200800000274,2008,274,40.931164,19.698588,28.19,30.23,12.5,0,50,0,U
AL200800000275,2008,275,40.94953,19.709124,25.63,25.36,25,0,NaN,NaN,U
AL200800000276,2008,276,40.935286,19.692259,24.33,23.57,0,0,0,0,U
AL200800000277,2008,277,40.948254,19.722883,25.92,24.11,0,0,100,NaN,U
AL200800000280,2008,280,42.215249,19.470399,24.12,22.85,0,2.17,100,50,R
AL200800000281,2008,281,40.596248,19.743851,24.58,23.74,83.33,0,66.67,0,R
AL200800000283,2008,283,40.628302,19.720835,24.6,22.98,100,19.05,66.67,NaN,R
AL200800000284,2008,284,40.572163,19.8278,25.4,24.31,88.89,5,66.67,0,R
AL200800000285,2008,285,40.593951,19.736558,24.55,24.26,69.23,0,25,0,U
AL200800000287,2008,287,41.602278,20.02744,23.2,22.53,45.45,2.78,100,0,R
AL200800000289,2008,289,41.604039,20.028138,24.36,23.38,16.67,0,100,50,U
AL200800000291,2008,291,41.01112598,19.81313449,26.34,26.14,9.09,6.9,100,0,R
AL200800000295,2008,295,40.306037,20.194572,26.18,27.32,28.57,0,0,50,U
AL200800000296,2008,296,40.246594,20.358529,26.77,27.57,20,4.55,NaN,0,U
AL200800000297,2008,297,40.876728,20.629455,23.07,22.14,0,0,100,0,R
AL200800000298,2008,298,40.847239,20.798464,23.57,22.82,6.67,2.7,66.67,50,R
AL200800000299,2008,299,40.982729,20.587118,25.14,23.53,37.5,2.63,100,0,R
AL200800000300,2008,300,40.964809,20.443352,23.67,23.37,0,4,66.67,0,R
AL200800000301,2008,301,40.893866,20.653261,21.35,21.47,0,0,NaN,0,U
AL200800000302,2008,302,40.900839,20.667331,22.19,21.83,10,0,100,0,U
AL200800000303,2008,303,40.891143,20.643403,22.27,22.73,0,2.78,100,33.33,U
AL200800000304,2008,304,42.085769,19.852556,22.1,21.1,12.5,5.13,66.67,28.57,R
AL200800000305,2008,305,42.051121,20.024565,25.71,26.37,7.69,4.88,71.43,0,U
AL200800000306,2008,306,39.839463,20.22687,22.31,22.31,NaN,0,NaN,NaN,R
AL200800000308,2008,308,39.861674,20.090132,NaN,NaN,100,0,0,0,R
AL200800000309,2008,309,39.870482,20.013047,23.91,23.06,60,0,0,0,U
AL200800000312,2008,312,41.97756,19.541557,24.23,23.69,0,0,100,14.29,R
AL200800000313,2008,313,42.004371,19.398548,23.38,22.89,16.67,0,NaN,NaN,R
AL200800000314,2008,314,41.981772,19.672555,24.12,23.65,37.5,2.94,75,0,R
AL200800000315,2008,315,42.102703,19.551268,25.65,26.41,0,0,100,25,R
AL200800000316,2008,316,42.086924,19.525363,25.01,24.87,0,3.12,NaN,NaN,R
AL200800000317,2008,317,41.892983,19.44843,24.3,23.61,16.67,10,100,100,R
AL200800000318,2008,318,41.8999372,19.56077232,24.73,24.29,42.86,0,83.33,50,R
AL200800000319,2008,319,41.996438,19.640914,25.93,25.12,5.88,5.36,100,25,U
AL200800000320,2008,320,42.069311,19.50556,22.88,23.23,0,0,100,0,U
AL200800000321,2008,321,42.050703,19.476702,23.57,23.92,0,4.65,100,37.5,U
AL200800000322,2008,322,42.067207,19.526498,22.62,21.98,0,0,100,0,U
AL200800000323,2008,323,42.066517,19.499727,23.69,24.98,0,0,100,0,U
AL200800000325,2008,325,42.064482,19.510412,23.29,23.18,0,0,100,14.29,U
AL200800000326,2008,326,42.067995,19.511225,22.61,21.8,0,3.33,100,0,U
AL200800000327,2008,327,42.072563,19.528098,22.83,23.01,0,0,100,0,U
AL200800000328,2008,328,42.056598,19.505416,23.45,23.53,11.11,0,100,33.33,U
AL200800000329,2008,329,42.062326,19.51285,24.23,24.17,0,0,NaN,NaN,U
AL200800000331,2008,331,40.518963,20.225724,25.39,26.34,42.86,0,100,0,U
AL200800000333,2008,333,40.383638,19.917736,26.02,25.02,100,4.17,50,0,R
AL200800000334,2008,334,40.291816,20.025963,22.78,23.85,50,0,50,0,U
AL200800000335,2008,335,41.382169,19.688432,26.26,25.48,40,0,62.5,20,R
AL200800000336,2008,336,41.313751,19.937197,23.62,23.52,63.64,0,60,0,R
AL200800000337,2008,337,41.381421,19.738963,25.64,24.82,30.77,12.77,58.33,22.22,R
AL200800000338,2008,338,41.37480814,19.7731552,22.02,22.52,27.27,10.53,50,0,R
AL200800000339,2008,339,41.338042,19.731312,26.54,24.16,22.22,0,55.56,12.5,R
AL200800000340,2008,340,41.269363,19.662905,25.64,22.68,60,5,33.33,0,R
AL200800000341,2008,341,41.363337,19.83886,25.06,24.22,18.18,0,20,0,R
AL200800000342,2008,342,41.263918,19.688384,23.94,23.4,20,0,0,50,R
AL200800000347,2008,347,41.36651508,19.76969046,24.31,24.15,25,0,100,0,U
AL200800000348,2008,348,41.326103,19.830742,22.29,22.28,14.29,0,100,0,U
AL200800000349,2008,349,41.333434,19.777599,24.62,23.33,35.71,2.44,66.67,0,U
AL200800000350,2008,350,41.321606,19.813882,23.72,20.74,28.57,0,100,0,U
AL200800000351,2008,351,41.313651,19.821333,25.2,24.71,36.36,0,100,0,U
AL200800000352,2008,352,41.311015,19.828923,23.77,23.41,33.33,0,66.67,0,U
AL200800000353,2008,353,41.327264,19.822838,23.77,21.86,18.18,0,100,50,U
AL200800000354,2008,354,41.325384,19.817713,25.04,23.44,36.36,0,NaN,NaN,U
AL200800000355,2008,355,41.36477878,19.76741167,24.12,24,41.67,4.55,57.14,42.86,U
AL200800000357,2008,357,41.322184,19.786879,23.13,22.54,12.5,0,NaN,NaN,U
AL200800000359,2008,359,41.324337,19.827601,24.39,23.18,22.22,0,100,25,U
AL200800000361,2008,361,41.339396,19.832382,25.49,26.19,50,0,66.67,33.33,U
AL200800000362,2008,362,41.34343854,19.84443009,24.62,26.04,25,0,66.67,33.33,U
AL200800000363,2008,363,41.327736,19.822635,23.18,21.78,13.33,0,100,0,U
AL200800000364,2008,364,41.307929,19.824178,23.2,22.1,30,0,80,25,U
AL200800000365,2008,365,41.335382,19.845024,24.15,23.91,12.5,0,100,0,U
AL200800000366,2008,366,41.326002,19.82094,23.7,23.54,20,0,100,50,U
AL200800000367,2008,367,41.343637,19.815236,22.91,23.44,20,0,NaN,NaN,U
AL200800000368,2008,368,41.343761,19.848066,23.56,22.74,20,0,33.33,66.67,U
AL200800000369,2008,369,41.327839,19.836276,23.1,22.37,0,0,NaN,NaN,U
AL200800000370,2008,370,41.329944,19.850633,23.18,22.66,40,0,100,0,U
AL200800000371,2008,371,41.334047,19.783641,24.11,23.13,0,0,NaN,NaN,U
AL200800000372,2008,372,41.330262,19.834716,24.65,24.2,20,0,100,0,U
AL200800000374,2008,374,41.333544,19.834388,22.81,22.84,25,0,100,0,U
AL200800000375,2008,375,41.338051,19.811357,23.31,24.07,0,0,NaN,NaN,U
AL200800000378,2008,378,41.333184,19.800291,22.17,21.62,0,0,100,0,U
AL200800000380,2008,380,41.33116,19.815581,24.9,23.08,0,0,NaN,NaN,U
AL200800000381,2008,381,41.323676,19.841689,22.04,21.37,40,0,100,0,U
AL200800000382,2008,382,41.34142802,19.84085323,24.26,24,20,2.44,75,0,U
AL200800000383,2008,383,41.31373793,19.7688559,23.29,21.95,9.09,3.85,100,0,U
AL200800000384,2008,384,41.33479,19.809048,23.19,21.61,11.11,0,33.33,100,U
AL200800000385,2008,385,41.338991,19.847315,23.51,23.5,0,2.94,40,20,U
AL200800000386,2008,386,41.3005195,19.84361353,23.49,22.86,0,17.24,100,100,U
AL200800000387,2008,387,41.325053,19.839729,24.08,23.38,0,0,100,100,U
AL200800000388,2008,388,41.339883,19.846219,23.2,23.35,0,0,50,50,U
AL200800000390,2008,390,41.30767158,19.76973462,22.22,21.55,0,0,0,33.33,U
AL200800000391,2008,391,41.298265,19.837988,23.53,21.29,12.5,0,50,33.33,U
AL200800000394,2008,394,41.313066,19.783728,22.94,21.8,0,6.9,100,0,U
AL200800000395,2008,395,41.328304,19.817839,22.72,21.97,20,0,0,0,U
AL200800000396,2008,396,41.343868,19.832711,24.99,24.65,20,0,NaN,NaN,U
AL200800000397,2008,397,41.359775,19.775167,22.35,21.88,10,0,37.5,12.5,U
AL200800000398,2008,398,41.32839,19.819061,24.18,22.96,0,0,50,33.33,U
AL200800000399,2008,399,41.312177,19.769,24.82,23.77,16.67,0,NaN,NaN,U
AL200800000400,2008,400,41.342203,19.849426,23.45,20.94,0,0,50,66.67,U
AL200800000401,2008,401,41.329061,19.814282,24.7,24.34,0,0,33.33,66.67,U
AL200800000402,2008,402,41.35612427,19.76554959,24.41,23.92,7.14,0,75,0,U
AL200800000403,2008,403,41.343774,19.818655,25.71,24.41,0,0,71.43,16.67,U
AL200800000404,2008,404,41.335954,19.831313,23.33,21.67,20,0,50,0,U
AL200800000406,2008,406,41.326252,19.841812,21.15,21.93,33.33,0,0,33.33,U
AL200800000407,2008,407,41.335285,19.836438,22.56,21.33,0,0,0,0,U
AL200800000408,2008,408,41.330973,19.792081,22.16,22.29,0,0,50,0,U
AL200800000409,2008,409,41.327416,19.819676,22.96,23.34,0,0,100,50,U
AL200800000410,2008,410,41.345929,19.809677,23.88,23.88,0,0,50,0,U
AL200800000411,2008,411,41.328025,19.803102,22.27,22.69,0,0,33.33,100,U
AL200800000412,2008,412,41.324223,19.795552,21.34,20.88,0,0,0,0,U
AL200800000413,2008,413,41.325525,19.820391,24.92,24.25,0,0,100,NaN,U
AL200800000414,2008,414,41.32407,19.799404,26.7,24.98,0,0,NaN,NaN,U
AL200800000416,2008,416,41.333978,19.795968,23.42,23.49,0,0,NaN,NaN,U
AL200800000417,2008,417,41.340702,19.799254,24.43,24.54,0,0,NaN,NaN,U
AL200800000418,2008,418,41.348566,19.807304,24.44,24.74,0,0,NaN,NaN,U
AL200800000419,2008,419,41.344398,19.832997,22.83,22.27,0,4.55,33.33,33.33,U
AL200800000420,2008,420,41.35740895,19.75663843,23.16,23.2,0,0,75,0,U
AL200800000421,2008,421,42.290854,20.072864,22.89,22.9,12.5,5.41,83.33,50,R
AL200800000422,2008,422,42.275177,20.041509,23.36,22.7,28.57,3.12,100,100,R
AL200800000423,2008,423,42.268472,19.948166,21.37,20.77,0,0,100,50,R
